Row,Column,Droplet,Frequency,Width
0,0,5,20,30
0,1,5,20,30
0,2,5,20,30
0,3,5,20,30
0,4,5,20,30
0,5,5,20,30
0,6,5,20,30
0,7,5,20,30
0,8,5,20,30
0,9,5,20,30
0,10,5,20,30
0,11,5,20,30
0,12,5,20,30
0,13,5,20,30
0,14,5,20,30
0,15,5,20,30
0,16,5,20,30
0,17,5,20,30
0,18,5,20,30
0,19,5,20,30
0,20,5,20,30
0,21,5,20,30
0,22,5,20,30
0,23,5,20,30
1,23,5,20,30
1,22,5,20,30
1,21,5,20,30
1,20,5,20,30
1,19,5,20,30
1,18,5,20,30
1,17,5,20,30
1,16,5,20,30
1,15,5,20,30
1,14,5,20,30
1,13,5,20,30
1,12,5,20,30
1,11,5,20,30
1,10,5,20,30
1,9,5,20,30
1,8,5,20,30
1,7,5,20,30
1,6,5,20,30
1,5,5,20,30
1,4,5,20,30
1,3,5,20,30
1,2,5,20,30
1,1,5,20,30
1,0,5,20,30
2,0,5,20,30
2,1,5,20,30
2,2,5,20,30
2,3,5,20,30
2,4,5,20,30
2,5,5,20,30
2,6,5,20,30
2,7,5,20,30
2,8,5,20,30
2,9,5,20,30
2,10,5,20,30
2,11,5,20,30
2,12,5,20,30
2,13,5,20,30
2,14,5,20,30
2,15,5,20,30
2,16,5,20,30
2,17,5,20,30
2,18,5,20,30
2,19,5,20,30
2,20,5,20,30
2,21,5,20,30
2,22,5,20,30
2,23,5,20,30
3,23,5,20,30
3,22,5,20,30
3,21,5,20,30
3,20,5,20,30
3,19,5,20,30
3,18,5,20,30
3,17,5,20,30
3,16,5,20,30
3,15,5,20,30
3,14,5,20,30
3,13,5,20,30
3,12,5,20,30
3,11,5,20,30
3,10,5,20,30
3,9,5,20,30
3,8,5,20,30
3,7,5,20,30
3,6,5,20,30
3,5,5,20,30
3,4,5,20,30
3,3,5,20,30
3,2,5,20,30
3,1,5,20,30
3,0,5,20,30
4,0,5,20,30
4,1,5,20,30
4,2,5,20,30
4,3,5,20,30
4,4,5,20,30
4,5,5,20,30
4,6,5,20,30
4,7,5,20,30
4,8,5,20,30
4,9,5,20,30
4,10,5,20,30
4,11,5,20,30
4,12,5,20,30
4,13,5,20,30
4,14,5,20,30
4,15,5,20,30
4,16,5,20,30
4,17,5,20,30
4,18,5,20,30
4,19,5,20,30
4,20,5,20,30
4,21,5,20,30
4,22,5,20,30
4,23,5,20,30
5,23,5,20,30
5,22,5,20,30
5,21,5,20,30
5,20,5,20,30
5,19,5,20,30
5,18,5,20,30
5,17,5,20,30
5,16,5,20,30
5,15,5,20,30
5,14,5,20,30
5,13,5,20,30
5,12,5,20,30
5,11,5,20,30
5,10,5,20,30
5,9,5,20,30
5,8,5,20,30
5,7,5,20,30
5,6,5,20,30
5,5,5,20,30
5,4,5,20,30
5,3,5,20,30
5,2,5,20,30
5,1,5,20,30
5,0,5,20,30
6,0,5,20,30
6,1,5,20,30
6,2,5,20,30
6,3,5,20,30
6,4,5,20,30
6,5,5,20,30
6,6,5,20,30
6,7,5,20,30
6,8,5,20,30
6,9,5,20,30
6,10,5,20,30
6,11,5,20,30
6,12,5,20,30
6,13,5,20,30
6,14,5,20,30
6,15,5,20,30
6,16,5,20,30
6,17,5,20,30
6,18,5,20,30
6,19,5,20,30
6,20,5,20,30
6,21,5,20,30
6,22,5,20,30
6,23,5,20,30
7,23,5,20,30
7,22,5,20,30
7,21,5,20,30
7,20,5,20,30
7,19,5,20,30
7,18,5,20,30
7,17,5,20,30
7,16,5,20,30
7,15,5,20,30
7,14,5,20,30
7,13,5,20,30
7,12,5,20,30
7,11,5,20,30
7,10,5,20,30
7,9,5,20,30
7,8,5,20,30
7,7,5,20,30
7,6,5,20,30
7,5,5,20,30
7,4,5,20,30
7,3,5,20,30
7,2,5,20,30
7,1,5,20,30
7,0,5,20,30
8,0,5,20,30
8,1,5,20,30
8,2,5,20,30
8,3,5,20,30
8,4,5,20,30
8,5,5,20,30
8,6,5,20,30
8,7,5,20,30
8,8,5,20,30
8,9,5,20,30
8,10,5,20,30
8,11,5,20,30
8,12,5,20,30
8,13,5,20,30
8,14,5,20,30
8,15,5,20,30
8,16,5,20,30
8,17,5,20,30
8,18,5,20,30
8,19,5,20,30
8,20,5,20,30
8,21,5,20,30
8,22,5,20,30
8,23,5,20,30
9,23,5,20,30
9,22,5,20,30
9,21,5,20,30
9,20,5,20,30
9,19,5,20,30
9,18,5,20,30
9,17,5,20,30
9,16,5,20,30
9,15,5,20,30
9,14,5,20,30
9,13,5,20,30
9,12,5,20,30
9,11,5,20,30
9,10,5,20,30
9,9,5,20,30
9,8,5,20,30
9,7,5,20,30
9,6,5,20,30
9,5,5,20,30
9,4,5,20,30
9,3,5,20,30
9,2,5,20,30
9,1,5,20,30
9,0,5,20,30
10,0,5,20,30
10,1,5,20,30
10,2,5,20,30
10,3,5,20,30
10,4,5,20,30
10,5,5,20,30
10,6,5,20,30
10,7,5,20,30
10,8,5,20,30
10,9,5,20,30
10,10,5,20,30
10,11,5,20,30
10,12,5,20,30
10,13,5,20,30
10,14,5,20,30
10,15,5,20,30
10,16,5,20,30
10,17,5,20,30
10,18,5,20,30
10,19,5,20,30
10,20,5,20,30
10,21,5,20,30
10,22,5,20,30
10,23,5,20,30
11,23,5,20,30
11,22,5,20,30
11,21,5,20,30
11,20,5,20,30
11,19,5,20,30
11,18,5,20,30
11,17,5,20,30
11,16,5,20,30
11,15,5,20,30
11,14,5,20,30
11,13,5,20,30
11,12,5,20,30
11,11,5,20,30
11,10,5,20,30
11,9,5,20,30
11,8,5,20,30
11,7,5,20,30
11,6,5,20,30
11,5,5,20,30
11,4,5,20,30
11,3,5,20,30
11,2,5,20,30
11,1,5,20,30
11,0,5,20,30
12,0,5,20,30
12,1,5,20,30
12,2,5,20,30
12,3,5,20,30
12,4,5,20,30
12,5,5,20,30
12,6,5,20,30
12,7,5,20,30
12,8,5,20,30
12,9,5,20,30
12,10,5,20,30
12,11,5,20,30
12,12,5,20,30
12,13,5,20,30
12,14,5,20,30
12,15,5,20,30
12,16,5,20,30
12,17,5,20,30
12,18,5,20,30
12,19,5,20,30
12,20,5,20,30
12,21,5,20,30
12,22,5,20,30
12,23,5,20,30
13,23,5,20,30
13,22,5,20,30
13,21,5,20,30
13,20,5,20,30
13,19,5,20,30
13,18,5,20,30
13,17,5,20,30
13,16,5,20,30
13,15,5,20,30
13,14,5,20,30
13,13,5,20,30
13,12,5,20,30
13,11,5,20,30
13,10,5,20,30
13,9,5,20,30
13,8,5,20,30
13,7,5,20,30
13,6,5,20,30
13,5,5,20,30
13,4,5,20,30
13,3,5,20,30
13,2,5,20,30
13,1,5,20,30
13,0,5,20,30
14,0,5,20,30
14,1,5,20,30
14,2,5,20,30
14,3,5,20,30
14,4,5,20,30
14,5,5,20,30
14,6,5,20,30
14,7,5,20,30
14,8,5,20,30
14,9,5,20,30
14,10,5,20,30
14,11,5,20,30
14,12,5,20,30
14,13,5,20,30
14,14,5,20,30
14,15,5,20,30
14,16,5,20,30
14,17,5,20,30
14,18,5,20,30
14,19,5,20,30
14,20,5,20,30
14,21,5,20,30
14,22,5,20,30
14,23,5,20,30
15,23,5,20,30
15,22,5,20,30
15,21,5,20,30
15,20,5,20,30
15,19,5,20,30
15,18,5,20,30
15,17,5,20,30
15,16,5,20,30
15,15,5,20,30
15,14,5,20,30
15,13,5,20,30
15,12,5,20,30
15,11,5,20,30
15,10,5,20,30
15,9,5,20,30
15,8,5,20,30
15,7,5,20,30
15,6,5,20,30
15,5,5,20,30
15,4,5,20,30
15,3,5,20,30
15,2,5,20,30
15,1,5,20,30
15,0,5,20,30
